epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,169.86,0.73585,0.84167,1.11785,0.98918,0.85714,0.96389,0.72253,1.01765,0.96401,1.33415,0.0007328,0.0007328,0.0007328
66,172.393,0.78134,0.85055,1.11221,0.98906,0.85714,0.953,0.68088,1.00376,1.05206,1.2813,0.000713,0.000713,0.000713
67,174.893,0.73119,0.87804,1.09938,0.99395,0.85714,0.93667,0.69619,0.94849,1.18024,1.22139,0.0006932,0.0006932,0.0006932
68,177.427,0.70055,0.78252,1.04826,0.99611,0.85714,0.925,0.67016,0.91611,1.26937,1.17462,0.0006734,0.0006734,0.0006734
69,179.928,0.67579,0.83159,1.09361,1,0.84853,0.91265,0.66493,0.87669,1.20861,1.15755,0.0006536,0.0006536,0.0006536
70,182.439,0.61591,0.71485,1.03213,1,0.84603,0.953,0.71553,0.84808,1.09822,1.17478,0.0006338,0.0006338,0.0006338
71,184.939,0.70435,0.7749,1.11962,1,0.84603,0.953,0.71553,0.84808,1.09822,1.17478,0.000614,0.000614,0.000614
72,187.441,0.72844,0.80958,1.07287,0.98723,0.85714,0.953,0.70735,0.94643,0.94654,1.3399,0.0005942,0.0005942,0.0005942
73,189.98,0.58966,0.69955,0.99283,0.95163,0.85714,0.90944,0.70928,0.88425,1.01167,1.28755,0.0005744,0.0005744,0.0005744
74,192.787,0.5995,0.74557,1.00356,0.85485,0.85714,0.89761,0.66206,0.87812,1.02281,1.30718,0.0005546,0.0005546,0.0005546
75,195.39,0.64435,0.7452,1.03612,0.95948,0.85714,0.88382,0.64683,0.93424,1.10922,1.36887,0.0005348,0.0005348,0.0005348
76,197.972,0.71024,0.78583,1.08431,0.9497,0.85714,0.87678,0.60973,0.97936,1.10089,1.402,0.000515,0.000515,0.000515
77,200.606,0.6645,0.7703,1.04425,0.97811,0.85714,0.87779,0.66767,0.95386,1.01378,1.37055,0.0004952,0.0004952,0.0004952
